recipe_id,line_no,raw_line,qty,unit,name_raw,state,dry_fresh,parse_status
82,15,1 teaspoon Whole Black Peppercorns - crushed,1,teaspoon,Whole Black Peppercorns,crushed,,auto
82,16,Coconut Oil - for cooking,nan,,Coconut Oil,,,reviewed
82,17,Salt - to taste,nan,,Salt,,,reviewed
83,1,300 grams Kaddu (Parangikai/ Pumpkin) - peeled and chopped,300,gram,Kaddu (Parangikai/ Pumpkin),peeled and chopped,,auto
83,2,1/2 cup Fresh coconut - grated coconut to be ground,1/2,cup,Fresh coconut,grated coconut to be ground,Fresh,auto
83,3,1/4 cup Fresh coconut - to be roasted,1/4,cup,Fresh coconut,to be roasted,Fresh,auto
83,4,1 Green Chilli,1,,Green Chilli,,,auto
83,5,1-1/2 teaspoons Mustard seeds,1-1/2,teaspoon,Mustard seeds,,,reviewed
83,6,2 teaspoons White Urad Dal (Split),2,teaspoon,White Urad Dal (Split),,,auto
83,7,2 sprig Curry leaves,2,sprig,Curry leaves,,,auto
83,8,3 Dry Red Chillies,3,,Dry Red Chillies,,Dry,auto
83,9,3/4 teaspoon Turmeric powder (Haldi),3/4,teaspoon,Turmeric powder (Haldi),,,auto
83,10,1 teaspoon Cumin seeds (Jeera),1,teaspoon,Cumin seeds (Jeera),,,auto
83,11,1 tablespoon Coconut Oil,1,tablespoon,Coconut Oil,,,auto
83,12,Salt - to taste,nan,,Salt,,,reviewed
84,1,3 raw bananas - peeled and cut into thin,3,,raw bananas,peeled and cut into thin,,auto
84,2,1/2 tablespoon paprika powder,1/2,tablespoon,paprika powder,,,auto
84,3,1/4 tablespoon pepper powder,1/4,tablespoon,pepper powder,,,auto
84,4,salt - as per taste,nan,,salt,,,reviewed
84,5,1 tablespoon olive oil - as per use,1,tablespoon,olive oil,,,reviewed
85,1,1 cup Rice flour,1,cup,Rice flour,,,auto
85,2,1 cup Jaggery,1,cup,Jaggery,,,auto
85,3,1/2 cup Water,1/2,cup,Water,,,auto
85,4,5 Cardamom (Elaichi) Pods/Seeds,5,,Cardamom (Elaichi) Pods/Seeds,,,reviewed
85,5,2 Ripe Bananas,2,,Ripe Bananas,,,auto
85,6,1 teaspoon Baking soda,1,teaspoon,Baking soda,,,auto
85,7,Ghee - as required,nan,,Ghee,,,reviewed
86,1,1 cup Vellai Poosanikai (Ash gourd/White Pumpkin) - cut lengthwise,1,cup,Vellai Poosanikai (Ash gourd/White Pumpkin),cut lengthwise,,auto
86,2,2 Drumstick - cut lengthwise,2,,Drumstick,cut lengthwise,,auto
86,3,2 Carrots (Gajjar) - cut lengthwise,2,,Carrots (Gajjar),cut lengthwise,,auto
86,4,10 Green beans (French Beans) -  cut lengthwise,10,,Green beans (French Beans),cut lengthwise,,auto
86,5,1 Raw Banana - peeled and cut lengthwise,1,,Raw Banana,peeled and cut lengthwise,,auto
86,6,2 Potatoes (Aloo) - peeled and cut lengthwise,2,,Potatoes (Aloo),peeled and cut lengthwise,,auto
86,7,1 cup Elephant yam (Suran/Senai/Ratalu) - peeled and cut lengthwise,1,cup,Elephant yam (Suran/Senai/Ratalu),peeled and cut lengthwise,,auto
86,8,1/2 teaspoon Turmeric powder (Haldi),1/2,teaspoon,Turmeric powder (Haldi),,,auto
86,9,Salt - to taste,nan,,Salt,,,reviewed
86,10,1-1/2 cups Fresh coconut - grated,1-1/2,cup,Fresh coconut,grated,Fresh,reviewed
86,11,3 Green Chillies,3,,Green Chillies,,,auto
86,12,1 sprig Curry leaves,1,sprig,Curry leaves,,,auto
86,13,1 teaspoon Cumin seeds (Jeera),1,teaspoon,Cumin seeds (Jeera),,,auto
86,14,1 tablespoons Coconut Oil,1,tablespoon,Coconut Oil,,,auto
86,15,Salt - to taste,nan,,Salt,,,reviewed
