recipe_id,line_no,raw_line,review_flags,regex_name,ip_patched_name,regex_qty,ip_qty,regex_unit,ip_unit,modifier_text,ip_state,ip_comment,ip_purpose,corrected_name,corrected_qty,corrected_unit,corrected_state
124,10,1 inch Cinnamon Stick (Dalchini),name;qty;unit,Cinnamon Stick (Dalchini),Cinnamon Sticks (Dalchini),1,,inch,,,,,,Cinnamon Stick (Dalchini),1,inch,
124,11,1 Cardamom (Elaichi) Pods/Seeds,unit,Cardamom (Elaichi) Pods/Seeds,Cardamom (Elaichi) Pods/Seeds,1,1,,Pod,,,,,Cardamom (Elaichi) Pods/Seeds,1,,pods/seeds
124,12,3 Cloves (Laung),name;unit,(Laung),Cloves,3,3,Cloves,,,,(Laung),,Cloves (Laung),3,,cloves
125,1,1 cup cabbage - wash and chop finely,state,cabbage,cabbage,1,1,cup,cup,wash and chop finely,,wash and chop finely,,cabbage,1,cup,washed and finely chopped
125,7,salt - as per taste,state,salt,salt,,,,,as per taste,,as per taste,,salt,,,
125,8,Oil - 5 tablespoons coconut - as per use,name;qty;unit;state,Oil,Oil; coconut,,5,,tablespoon,5 tablespoons coconut - as per use,,as per use,,Coconut Oil,5,tablespoon,
125,11,3 cloves garlic - chop,name;state,garlic,garlic - chop,3,3,cloves,cloves,chop,,,,garlic,3,,"cloves, chopped"
125,12,2 green chillies - chop,state,green chillies,green chillies,2,2,,,chop,,chop,,green chillies,2,,chopped
126,4,1/2 inch Ginger - grated,qty;unit,Ginger,Ginger,1/2,,inch,,grated,grated,,,Ginger, 1/2,inch,
127,6,1 teaspoon Coconut Oil - or regular oil,name;state,Coconut Oil,Coconut Oil; regular oil,1,1,teaspoon,teaspoon,or regular oil,,,,Coconut Oil,1,teaspoon,
127,12,1 teaspoon Salt - adjust as per your taste,state,Salt,Salt,1,1,teaspoon,teaspoon,adjust as per your taste,,adjust as per your taste,,Salt,1,teaspoon,
128,3,1 inch Ginger - finely chopped,qty;unit,Ginger,Ginger,1,,inch,,finely chopped,finely chopped,,,Ginger,1,inch,
128,8,1/4 cup Fresh coconut - pieces,qty;unit;state,Fresh coconut,Fresh coconut,1/4,1,cup,piece,pieces,,,,Fresh coconut, 1/4,cup,pieces
128,12,Water - enough to cook the prawns,state,Water,Water,,,,,enough to cook the prawns,,enough to cook the prawns,,Water,,,
128,13,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
129,1,1-1/2 cups Mixed vegetables - (potatoes,name;qty;state,Mixed vegetables,Mixed vegetables - potatoes,1-1/2,1/2,cups,cup,(potatoes,,,,Mixed vegetables (Potatoes),1 1/2,cups,
129,5,1 inch Ginger - thinly sliced,qty;unit,Ginger,Ginger,1,,inch,,thinly sliced,thinly sliced,,,Ginger,1,inch,
129,8,1 cup Coconut milk - thin,state,Coconut milk,Coconut milk,1,1,cup,cup,thin,,thin,,Coconut milk,1,cup,thin
129,9,1 cup Coconut milk - thick,state,Coconut milk,Coconut milk,1,1,cup,cup,thick,,,,Coconut milk,1,cup,thick
129,15,2 sprig Mint Leaves (Pudina) - made to paste,state,Mint Leaves (Pudina),Mint Leaves (Pudina),2,2,sprig,sprigs,made to paste,,made to paste,,Mint Leaves (Pudina),2,sprig,paste
129,16,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
130,4,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
131,2,1/2 cup Bajra Flour ( Pearl Millet),name,Bajra Flour ( Pearl Millet),Bajra Flour (Pearl Millet),1/2,1/2,cup,cup,,,,,Bajra Flour (Pearl Millet), 1/2,cup,
131,5,Salt - as required,state,Salt,Salt,,,,,as required,,as required,,Salt,,,
131,6,Water - as required,state,Water,Water,,,,,as required,,as required,,Water,,,
132,2,1 tablespoon Ghee - for dough,state,Ghee,Ghee,1,1,tablespoon,tablespoon,for dough,,,for dough,Ghee,1,tablespoon,
132,7,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
133,2,6 Cardamom (Elaichi) Pods/Seeds,unit,Cardamom (Elaichi) Pods/Seeds,Cardamom (Elaichi) Pods/Seeds,6,6,,Pods,,,,,Cardamom (Elaichi) Pods/Seeds,6,,pods/seeds
133,3,6 Cloves (Laung),name;unit,(Laung),Cloves,6,6,Cloves,,,,(Laung),,Cloves (Laung),6,,cloves
133,4,1 Cinnamon Stick (Dalchini),name,Cinnamon Stick (Dalchini),Cinnamon Sticks (Dalchini),1,1,,,,,,,Cinnamon Stick (Dalchini),1,,
133,8,3-4 tablespoons Lemon juice,qty,Lemon juice,Lemon juice,3-4,3,tablespoons,tablespoon,,,,,Lemon juice,3.5,tablespoons,
