recipe_id,line_no,raw_line,modifier_text,ip_state,ip_comment,ip_purpose,corrected_state,corrected_notes,note_to_self
122,5,Salt - to taste,to taste,,to taste,,,to taste,
123,5,1 Onions - red,red,,red,,,Red Onion,
123,8,1/2 cup Coconut milk - thin,thin,,thin,,,thin,size
123,9,3/4 cup Coconut milk - thick,thick,,,,,thick,size
123,10,Salt - to taste,to taste,,to taste,,,to taste,
124,4,Curry leaves - few sprigs,few sprigs,,,,,few sprigs,amt
125,1,1 cup cabbage - wash and chop finely,wash and chop finely,,wash and chop finely,,wash and chop finely,,
125,7,salt - as per taste,as per taste,,as per taste,,,to taste,
125,8,Oil - 5 tablespoons coconut - as per use,5 tablespoons coconut - as per use,,as per use,,,as per use,
125,11,3 cloves garlic - chop,chop,,,,chopped,,
125,12,2 green chillies - chop,chop,,chop,,chopped,,
127,6,1 teaspoon Coconut Oil - or regular oil,or regular oil,,,,,or regular oil,sub
127,12,1 teaspoon Salt - adjust as per your taste,adjust as per your taste,,adjust as per your taste,,,to taste,
128,8,1/4 cup Fresh coconut - pieces,pieces,,,,pieces,,
128,12,Water - enough to cook the prawns,enough to cook the prawns,,enough to cook the prawns,,,Enough to cook prawns,amt
128,13,Salt - to taste,to taste,,to taste,,,to taste,
129,1,1-1/2 cups Mixed vegetables - (potatoes,(potatoes,,,,,,
129,8,1 cup Coconut milk - thin,thin,,thin,,,thin,size
129,9,1 cup Coconut milk - thick,thick,,,,,thick,size
129,15,2 sprig Mint Leaves (Pudina) - made to paste,made to paste,,made to paste,,,made to paste,
129,16,Salt - to taste,to taste,,to taste,,,to taste,
130,4,Salt - to taste,to taste,,to taste,,,to taste,
131,5,Salt - as required,as required,,as required,,,as required,
131,6,Water - as required,as required,,as required,,,as required,
132,2,1 tablespoon Ghee - for dough,for dough,,,for dough,,for dough,
132,7,Salt - to taste,to taste,,to taste,,,to taste,
133,9,Salt - to taste,to taste,,to taste,,,to taste,
133,14,Salt - to taste,to taste,,to taste,,,to taste,
133,16,1/2 tablespoon Ginger - paste,paste,,,,,ginger paste,
133,17,1/2 tablespoon Garlic - paste,paste,,,,,garlic paste,
133,18,5 - 6 Green Chillies,6 Green Chillies,,,,,,
133,20,1 Fresh coconut - handful,handful,,,,,,
133,21,1 Coriander (Dhania) Leaves - handful,handful,,,,,,
133,26,Sunflower Oil - vegetable oil,vegetable oil,,,,,,
133,27,1 Salt - to taste,to taste,,to taste,,,to taste,
133,28,1 Cashew nuts - handful,handful,,,,,,
