name_raw,n_occurrences,sample_raw_lines,dry_fresh_seen,primary_key
Mixed Vegetables - potatoes,1,1-1/2 cups Mixed vegetables - (potatoes,,mixed vegetable potato
Ragi Flour (Finger Millet/ Nagli),1,1/2 cup Ragi Flour (Finger Millet/ Nagli),,ragi flour
Bajra Flour (Pearl Millet),1,1/2 cup Bajra Flour ( Pearl Millet),,bajra flour
Garlic Paste ,1,1/2 tablespoon Garlic - paste,,garlic paste
Cooking soda,1,1/2 teaspoon Cooking soda,,cooking soda
Butter,1,1 teaspoon Butter,,butter
Tamarind water,1,1-1/2 cup Tamarind Water,,tamarind water
Kala Chana (Brown Chickpeas),1,1 cup Kala Chana (Brown Chickpeas) - soaked overnight and cooked,,kala chana
Homemade tomato puree,1,1/2 cup Homemade tomato puree,,homemade tomato puree
raw banana peel,1,2 raw banana peel,,raw banana peel
Galic,1,8 Garlic - cloves,,galic
Red black Eyed Beans (Azuki),1,1.5 cups Red Black Eyed Beans (Azuki),,red black eyed bean
active dry yeast,1,1 tsp active dry yeast - + 1/2 cup lukewarm water,Dry,active dry yeast
lukewarm water,1,1 tsp active dry yeast - + 1/2 cup lukewarm water,,lukewarm water
luke warm water,1,1 teaspoon Active dry yeast -  + 1/2 cup of luke warm water,,luke warm water
