recipe_id,line_no,raw_line,review_flags,regex_name,ip_patched_name,regex_qty,ip_qty,regex_unit,ip_unit,modifier_text,ip_state,ip_comment,ip_purpose,verdict,corrected_name,corrected_qty,corrected_unit,corrected_state
125,1,1 cup cabbage - wash and chop finely,state,cabbage,cabbage,1,1,cup,cup,wash and chop finely,,wash and chop finely,,ok,,,,wash and chop finely
125,7,salt - as per taste,state,salt,salt,,,,,as per taste,,as per taste,,ok,,,,as per taste
125,8,Oil - 5 tablespoons coconut - as per use,name;qty;unit;state,Oil,Oil; coconut,,5,,tablespoon,5 tablespoons coconut - as per use,,as per use,,ok,,,,as per use
125,11,3 cloves garlic - chop,name;state,garlic,garlic - chop,3,3,cloves,cloves,chop,,,,ok,,,,
125,12,2 green chillies - chop,state,green chillies,green chillies,2,2,,,chop,,chop,,ok,,,,chop
126,4,1/2 inch Ginger - grated,qty;unit,Ginger,Ginger,1/2,,inch,,grated,grated,,,ok,,,,
127,6,1 teaspoon Coconut Oil - or regular oil,name;state,Coconut Oil,Coconut Oil; regular oil,1,1,teaspoon,teaspoon,or regular oil,,,,ok,,,,
127,12,1 teaspoon Salt - adjust as per your taste,state,Salt,Salt,1,1,teaspoon,teaspoon,adjust as per your taste,,adjust as per your taste,,ok,,,,adjust as per your taste
128,3,1 inch Ginger - finely chopped,qty;unit,Ginger,Ginger,1,,inch,,finely chopped,finely chopped,,,ok,,,,
128,8,1/4 cup Fresh coconut - pieces,qty;unit;state,Fresh coconut,Fresh coconut,1/4,1,cup,piece,pieces,,,,ok,,,,
128,12,Water - enough to cook the prawns,state,Water,Water,,,,,enough to cook the prawns,,enough to cook the prawns,,ok,,,,enough to cook the prawns
128,13,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
129,1,1-1/2 cups Mixed vegetables - (potatoes,name;qty;state,Mixed vegetables,Mixed vegetables - potatoes,1-1/2,1/2,cups,cup,(potatoes,,,,ok,,,,
129,5,1 inch Ginger - thinly sliced,qty;unit,Ginger,Ginger,1,,inch,,thinly sliced,thinly sliced,,,ok,,,,
129,8,1 cup Coconut milk - thin,state,Coconut milk,Coconut milk,1,1,cup,cup,thin,,thin,,ok,,,,thin
129,9,1 cup Coconut milk - thick,state,Coconut milk,Coconut milk,1,1,cup,cup,thick,,,,ok,,,,
129,15,2 sprig Mint Leaves (Pudina) - made to paste,state,Mint Leaves (Pudina),Mint Leaves (Pudina),2,2,sprig,sprigs,made to paste,,made to paste,,ok,,,,made to paste
