norm_key,generic_name,n_lines,chosen_ifct_code,hierarchical,rank_found,fallback_code,fallback_source,reviewer_notes
fennel seed saunf,Fennel seeds (Saunf),12,,,absent,,,gather from USDA
whole black peppercorn,Whole Black Peppercorns,12,G031,N,7,,,
turmeric powder,turmeric powder,12,G033,N,1,,,
kashmiri red chilli powder,Kashmiri Red Chilli Powder,11,G022,N,1,,,"G022 is the whole/raw chilli entry, not a powder-specific row"
lemon juice,Lemon juice,11,E033,N,1,,,
coconut,coconut,11,H007,N,2,,,
cardamom powder elaichi,Cardamom Powder (Elaichi),10,G020,Y,1,,,elaichi' defaults to green cardamom 
chicken,Chicken,10,N002,Y,3,,,defaulted to thigh; check USDA for general
coriander dhania seed,Coriander (Dhania) Seeds,10,G024,N,1,,,
garam masala powder,Garam masala powder,10,,,absent,,,False single candidate match
methi seed fenugreek seed,Methi Seeds (Fenugreek Seeds),10,G026,N,1,,,
mustard,mustard,10,H013,N,2,,,mustard defaults to seed (rather than the condiment)
carrot gajjar,Carrots (Gajjar),9,F002,Y,1,,,default to orange
cloves laung,Cloves (Laung),9,G023,N,1,,,
curd dahi yogurt,Curd (Dahi / Yogurt),9,,,absent,,,default to USDA
rice,Rice,9,A014,N,4,,,parboiled is likely more standard than raw rice
rice flour,Rice flour,9,,,absent,,,default to USDA
milk,Milk,8,L002,N,2,,,Whole Milk
potato aloo,Potato (Aloo),8,F006,Y,1,,,Default to brown-skinned as other types are likely less common
raw banana,Raw Banana,8,D063,Y,miss,,,Defaulted to Raw variant of plaintain
oil,oil,8,T001,Y,1,,,defaulted to coconut oil for base fat (worth rescanning recipe base) 
asafoetida hing,Asafoetida (hing),7,G019,N,1,,,
ginger garlic paste,Ginger Garlic Paste,7,,,absent,,,ginger garlic paste is a specific blend - USDA
mint leaf pudina,Mint Leaves (Pudina),7,G016,N,4,,,
tamarind,Tamarind,7,E064,N,3,,,pulp is more accurate than leaves or manila
baking soda,Baking soda,6,,,absent,,,
cumin seed,cumin seeds,6,G025,N,1,,,
elephant yam suran senai ratalu,Elephant yam (Suran/Senai/Ratalu),6,F017,N,1,,,
green bean french bean,Green beans (French Beans),6,D050,Y,2,,,default to hybrid
kokum malabar tamarind,Kokum (Malabar Tamarind),6,,,absent,,,kokum != tamarind
red matta rice,Red matta rice,6,,,absent,,,matta/red not in IFCT
all purpose flour maida,All Purpose Flour (Maida),5,A018,N,miss,,,maida = refined wheat flour
bhindi lady finger okra,Bhindi (Lady Finger/Okra),5,D056,N,1,,,
drumstick,Drumstick,5,D046,N,1,,,
fennel powder,Fennel Powder,5,,,absent,,,gather from USDA
mango ripe,Mango (Ripe),5,E036,Y,1,,,default to banganapalli
prawn,Prawns,5,S008,Y,3,,,default to large prawns
whole egg,Whole Eggs,5,M001,N,1,,,
whole wheat flour,Whole Wheat Flour,5,A020,N,1,,,
small onion,small onions,5,G018,N,1,,,
chana dal bengal gram dal,Chana dal (Bengal Gram Dal),4,B001,N,1,,,
cumin powder jeera,Cumin powder (Jeera),4,G025,N,1,,,Cumin seed is not in powder form 
green peas matar,Green peas (Matar),4,B017,Y,miss,,,difficult to distinguish between dry/fresh peaas
kaddu parangikai/ pumpkin,Kaddu (Parangikai/ Pumpkin),4,D066,N,miss,,,failure on language terms 
methi powder fenugreek powder,Methi Powder (Fenugreek Powder),4,G026,N,2,,,fenugreek seed - not powder
mutton,Mutton,4,O016,Y,miss,,,"mutton =  sheep in IFCT, default to leg"
raisin,Raisins,4,E057,Y,1,,,default to black raisins
ripe banana,Ripe Bananas,4,E010,Y,2,,,default to poovam
